,Unnamed: 0,Product  Name,Rating,Number of rates,Price,Img
64,64,"Global Value Mid-Back Manager's Chair, Gray","Xếp hạng: 4,4",83 đánh giá,"199,99 US$","Global Value Mid-Back Manager's Chair, Gray.png"
65,65,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","Xếp hạng: 4,7",627 đánh giá,"8,49 US$","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige.png"
67,67,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate","Xếp hạng: 4,6",18 đánh giá,"12,97 US$","Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate.png"
68,68,Avery Binding System Hidden Tab Executive Style Index Sets,"Xếp hạng: 4,8",1.205 đánh giá,"6,18 US$",Avery Binding System Hidden Tab Executive Style Index Sets.png
70,70,High-Back Leather Manager's Chair,"Xếp hạng: 4,3",3.686 đánh giá,"179,99 US$",High-Back Leather Manager's Chair.png
72,72,Safco Industrial Wire Shelving System,Còn hàng,7 đánh giá,"281,00 US$",Safco Industrial Wire Shelving System.png
73,73,Economy Binders,"Xếp hạng: 4,4",879 đánh giá,"18,37 US$",Economy Binders.png
76,76,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Sản phẩm,314 đánh giá,"15,99 US$","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak.png"
78,78,Avery Heavy-Duty EZD  Binder With Locking Rings,Xếp hạng: 4,1 đánh giá,"40,80 US$",Avery Heavy-Duty EZD  Binder With Locking Rings.png
79,79,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind","Xếp hạng: 4,8",10.156 đánh giá,"4,99 US$","Premium Writing Pencils, Soft, #2 by Central Association for the Blind.png"
80,80,"Sortfiler Multipurpose Personal File Organizer, Black","Xếp hạng: 3,5",5 đánh giá,"27,83 US$","Sortfiler Multipurpose Personal File Organizer, Black.png"
81,81,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,"Xếp hạng: 4,7",328 đánh giá,"25,98 US$",Jet-Pak Recycled Peel 'N' Seal Padded Mailers.png
82,82,Safco Industrial Wire Shelving,Còn hàng,11 đánh giá,"260,99 US$",Safco Industrial Wire Shelving.png
84,84,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,"Xếp hạng: 4,3",1.258 đánh giá,"49,99 US$",Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired.png
85,85,Avery 511,Còn hàng,13.116 đánh giá,"6,52 US$",Avery 511.png
88,88,Xerox 1995,Xếp hạng: 1,1 đánh giá,"83,18 US$",Xerox 1995.png
91,91,Ibico Standard Transparent Covers,"Xếp hạng: 3,7",24 đánh giá,"43,70 US$",Ibico Standard Transparent Covers.png
92,92,Flexible Leather- Look Classic Collection Ring Binder,"Xếp hạng: 4,7",1.382 đánh giá,"14,74 US$",Flexible Leather- Look Classic Collection Ring Binder.png
94,94,Trimflex Flexible Post Binders,"Xếp hạng: 4,6",637 đánh giá,"6,99 US$",Trimflex Flexible Post Binders.png
96,96,Avery Personal Creations Heavyweight Cards,Xếp hạng: 5,5 đánh giá,"16,00 US$",Avery Personal Creations Heavyweight Cards.png
97,97,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,"Xếp hạng: 4,7",47.914 đánh giá,"9,95 US$",SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card.png
98,98,Avery Hidden Tab Dividers for Binding Systems,"Xếp hạng: 4,8",2.265 đánh giá,"8,76 US$",Avery Hidden Tab Dividers for Binding Systems.png
100,100,Logitech K350 2.4Ghz Wireless Keyboard,"Xếp hạng: 4,6",26.423 đánh giá,"37,99 US$",Logitech K350 2.4Ghz Wireless Keyboard.png
101,101,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting","Xếp hạng: 3,6",40 đánh giá,"166,81 US$","Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting.png"
104,104,Speck Products Candyshell Flip Case,"Xếp hạng: 4,4",1.663 đánh giá,"17,99 US$",Speck Products Candyshell Flip Case.png
105,105,Newell Chalk Holder,"Xếp hạng: 4,6",13 đánh giá,"29,90 US$",Newell Chalk Holder.png
106,106,Logitech Gaming G510s - Keyboard,"Xếp hạng: 4,3",536 đánh giá,"349,75 US$",Logitech Gaming G510s - Keyboard.png
107,107,Magnifier Swing Arm Lamp,"Xếp hạng: 4,4",33 đánh giá,"79,69 US$",Magnifier Swing Arm Lamp.png
108,108,"Hunt PowerHouse Electric Pencil Sharpener, Blue","Xếp hạng: 4,6",485 đánh giá,"26,95 US$","Hunt PowerHouse Electric Pencil Sharpener, Blue.png"
110,110,"OIC Colored Binder Clips, Assorted Sizes","Xếp hạng: 4,6",595 đánh giá,"6,70 US$","OIC Colored Binder Clips, Assorted Sizes.png"
112,112,Xerox 1921,"Xếp hạng: 4,1",357 đánh giá,"777,30 US$",Xerox 1921.png
113,113,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Còn hàng,1 đánh giá,"79,71 US$","Tyvek  Top-Opening Peel & Seel Envelopes, Plain White.png"
114,114,Hon Racetrack Conference Tables,"Xếp hạng: 3,3",12 đánh giá,"744,69 US$",Hon Racetrack Conference Tables.png
116,116,Artistic Insta-Plaque,"Xếp hạng: 4,1",199 đánh giá,"12,55 €",Artistic Insta-Plaque.png
118,118,Globe Weis Peel & Seel First Class Envelopes,"Xếp hạng: 4,1",14 đánh giá,"61,08 US$",Globe Weis Peel & Seel First Class Envelopes.png
120,120,Global Deluxe High-Back Manager's Chair,"Xếp hạng: 4,4",85 đánh giá,"227,69 US$",Global Deluxe High-Back Manager's Chair.png
121,121,Bevis 44 x 96 Conference Tables,"Xếp hạng: 4,3",44 đánh giá,"618,90 US$",Bevis 44 x 96 Conference Tables.png
122,122,"Avery Durable Slant Ring Binders, No Labels","Xếp hạng: 4,7",10.769 đánh giá,"16,62 US$","Avery Durable Slant Ring Binders, No Labels.png"
123,123,"Trav-L-File Heavy-Duty Shuttle II, Black","Xếp hạng: 4,3",198 đánh giá,"49,07 US$","Trav-L-File Heavy-Duty Shuttle II, Black.png"
125,125,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,"Xếp hạng: 4,8",15.577 đánh giá,"27,49 US$",Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5.png
126,126,Xerox 1916,"Xếp hạng: 3,1",6 đánh giá,"1.156,94 US$",Xerox 1916.png
127,127,Staples,"Xếp hạng: 4,7",40.544 đánh giá,"9,97 US$",Staples.png
128,128,Xerox 195,"Xếp hạng: 3,2",5 đánh giá,"75,80 £",Xerox 195.png
129,129,Xerox 1880,"Xếp hạng: 4,1",357 đánh giá,"777,30 US$",Xerox 1880.png
131,131,Ideal Clamps,"Xếp hạng: 4,5",7 đánh giá,"32,92 US$",Ideal Clamps.png
132,132,GBC Wire Binding Strips,"Xếp hạng: 3,9",13 đánh giá,"77,21 US$",GBC Wire Binding Strips.png
133,133,Fiskars Softgrip Scissors,"Xếp hạng: 4,8",17.623 đánh giá,"6,48 US$",Fiskars Softgrip Scissors.png
134,134,Newell 343,"Xếp hạng: 4,9",28 đánh giá,"43,78 US$",Newell 343.png
135,135,Convenience Packs of Business Envelopes,"Xếp hạng: 4,7",3.544 đánh giá,"24,67 US$",Convenience Packs of Business Envelopes.png
139,139,Plantronics Cordless Phone Headset with In-line Volume - M214C,"Xếp hạng: 3,7",44 đánh giá,"54,40 US$",Plantronics Cordless Phone Headset with In-line Volume - M214C.png
