Product  Name,Rating,Number of rates,Item Price,Currency
Lexmark MX611dhe Monochrome Laser Printer,2.6,2,397.80,US$
Space Solutions HD Industrial Steel Shelving.,4.6,215205,60.21,US$
SAFCO Arco Folding Chair,4.4,338,209.24,US$
Sanford Liquid Accent Highlighters,4.5,86,8.40,US$
Kensington 7 Outlet MasterPiece Power Center,5.0,2,29.48,US$
"Global Value Steno Chair, Gray",4.4,1175,51.20,US$
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,4.8,6416,13.99,US$
Avery 51,4.8,18669,27.44,US$
"Sanford Colorific Eraseable Coloring Pencils, 12 Count",5.0,10,8.50,US$
"Tenex File Box, Personal Filing Tote with Lid, Black",4.4,10729,23.48,US$
AT&T TR1909W,4.0,121,32.07,US$
Nokia Lumia 521 (T-Mobile),3.9,3339,84.99,US$
Avery Poly Binder Pockets,4.8,6,7.67,US$
SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,4.7,115088,9.45,US$
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",4.3,6809,40.77,US$
Xerox 205,4.2,855,763.57,US$
4009 Highlighters by Sanford,5.0,1,11.98,US$
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",4.7,3460,5.55,US$
Southworth 25% Cotton Linen-Finish Paper & Envelopes,4.7,409,27.29,US$
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,3.3,30,71.16,US$
"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",5.0,4,9.16,US$
Eureka Sanitaire  Commercial Upright,3.8,56,150.00,US$
Nortel Business Series Terminal T7208 Digital phone,3.8,48,83.50,US$
"Tennsco Lockers, Gray",5.0,3,547.64,US$
Panasonic KX-TG6844B Expandable Digital Cordless Telephone,4.1,332,224.00,US$
"Advantus Push Pins, Aluminum Head",4.6,1466,9.66,US$
Avery 505,4.8,787,19.53,US$
Cisco 9971 IP Video Phone Charcoal,2.7,12,89.00,US$
Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,4.2,96,11.48,US$
Adtran 1202752G1,4.0,1,1499.99,US$
OIC Bulk Pack Metal Binder Clips,4.8,272,6.50,US$
Stanley Bostitch Contemporary Electric Pencil Sharpeners,4.5,1322,8.49,US$
"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",4.5,73,7.44,US$
Bevis 36 x 72 Conference Tables,4.6,188,334.72,US$
Rogers Deluxe File Chest,4.7,420,24.99,US$
"Global Push Button Manager's Chair, Indigo",5.0,1,384.76,US$
Bush Advantage Collection Round Conference Table,4.5,8,279.99,US$
Logitech P710e Mobile Speakerphone,4.1,323,156.60,US$
Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),4.6,2,105.72,US$
Xerox 1957,3.2,5,2400.00,US$
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,3.8,11,30.38,US$
Staple-based wall hangings,4.1,38,84.99,US$
PureGear Roll-On Screen Protector,3.8,40,9.98,US$
KI Conference Tables,3.9,6,299.99,US$
Eldon 100 Class Desk Accessories,4.6,306,11.26,US$
Safco Steel Mobile File Cart,4.5,429,59.90,US$
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,4.5,4592,29.99,US$
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5.0,1,298.95,US$
"Fellowes Personal Hanging Folder Files, Navy",4.5,32,22.10,US$
Tyvek Side-Opening Peel & Seel Expanding Envelopes,4.7,23,36.83,US$
Logitech Mobile Speakerphone P710e - speaker phone,4.1,323,156.60,US$
Sabrent 4-Port USB 2.0 Hub,4.6,120957,7.99,US$
Safco Industrial Shelving,3.0,1,260.69,US$
Xerox WorkCentre 6505DN Laser Multifunction Printer,3.1,55,812.50,US$
Cisco Small Business SPA 502G VoIP phone,4.2,45,59.95,US$
Microsoft Sculpt Comfort Mouse,4.3,5449,29.95,US$
Bagged Rubber Bands,4.9,10,9.99,US$
Safco Commercial Shelving,4.4,2,214.60,US$
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,4.6,3296,89.99,US$
Regeneration Desk Collection,4.5,388,8.49,US$
Presstex Flexible Ring Binders,4.2,92,9.99,US$
Newell 330,4.6,3,64.51,US$
Avery 489,4.7,27,21.60,US$
Round Ring Binders,5.0,8,7.14,US$
Bose SoundLink Bluetooth Speaker,4.6,62926,144.99,US$
Easy-staple paper,4.3,3253,17.72,US$
Microsoft Arc Touch Mouse,4.5,1534,35.95,US$
Xerox 216,4.2,634,237.48,£
GBC VeloBinder Electric Binding Machine,4.6,697,213.01,US$
Premier Automatic Letter Opener,3.1,44,141.99,US$
Advantus SlideClip Paper Clips,3.0,1,38.57,US$
Avery 512,4.6,29,30.49,US$
Logitech Wireless Gaming Headset G930,3.9,9759,84.99,US$
"Bush Westfield Collection Bookcases, Medium Cherry Finish",4.2,5,212.20,US$
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,3.2,53,60.95,US$
Xerox 1939,3.3,63,807.49,US$
"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",3.3,6,7.50,US$
Avery Premier Heavy-Duty Binder with Round Locking Rings,4.7,415,9.29,US$
BPI Conference Tables,4.2,28,87.09,US$
Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,4.5,2671,10.99,US$
Newell 350,5.0,1,64.79,US$
Boston Heavy-Duty Trimline Electric Pencil Sharpeners,3.4,42,44.99,US$
Faber Castell Col-Erase Pencils,4.6,2122,11.27,US$
C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,4.1,61,11.09,US$
Avery 509,4.3,309,2.39,£
"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",4.2,3,34.15,US$
AT&T 1070 Corded Phone,4.2,816,229.99,US$
Xerox 21,3.5,14,785.00,US$
"Boston School Pro Electric Pencil Sharpener, 1670",4.2,101,8.49,US$
DMI Arturo Collection Mission-style Design Wood Chair,4.1,229,99.60,US$
NETGEAR N750 Dual Band Wi-Fi Gigabit Router,4.3,7149,75.55,US$
OIC Binder Clips,4.8,272,6.50,US$
Logitech Wireless Headset h800,4.1,6979,139.99,US$
